id,tema,gancho_visual,texto_tela_1,cena_1,cena_2,cena_3,texto_tela_final,cta,formato
1,"Milho caro","Milho em close com etiqueta de preço","MILHO CARO?","close de milho/grao","vaca no cocho","sorgo/milho/capiaçu lado a lado","A conta muda por região","Quer calcular para sua fazenda?","Reel 45s"
2,"Silagem ruim","Silo aberto com material escuro","SILAGEM RUIM?","silo aberto","mao segurando silagem","vaca recusando cocho","Prejuízo antes do cocho","Salve antes de ensilar","Reel 35s"
3,"Leite e volumoso","Tanque de leite + lavoura","O LEITE COMEÇA NA LAVOURA","lavoura de forragem","cocho cheio","ordenha/tanque","Volumoso bom aparece no tanque","Envie para produtor de leite","Reel 45s"
4,"Sorgo x milho","Tela dividida sorgo/milho","SORG0 X MILHO","sorgo no campo","milho no campo","tabela custo/seca","Não é disputa, é sistema","Comente sua região","Reel 45s"
5,"Capiaçu","Capiaçu alto com produtor ao lado","CAPIACU VALE?","capiaçu em pé","corte/picagem","cocho","Depende do manejo","Quer checklist de corte?","Reel 40s"
6,"Ração cara","Saco de ração + cocho","RAÇÃO CARA?","saco de racao","volumoso no cocho","vaca comendo","Corrija o volumoso primeiro","Chame para montar a conta","Reel 35s"
7,"Seca/veranico","Campo seco + sol forte","A SECA NÃO AVISA","campo seco","silo cheio","mapa Sul/Sudeste","Reserva alimentar é seguro","Planeje antes","Reel 30s"
8,"Ponto de corte","Mão mostrando planta","CORTE ERRADO CUSTA CARO","planta no ponto","facas/picagem","silagem pronta","Qualidade começa no corte","Salve esse alerta","Reel 45s"
9,"Matéria seca","Silagem apertada na mão","VOCÊ ESTÁ ENSILANDO ÁGUA?","silagem na mão","texto materia seca","cocho","Colher errado muda a conta","Comente se mede MS","Reel 45s"
10,"Pequeno produtor leite","Pequena propriedade e vacas","PEQUENO TAMBÉM PLANEJA","vacas leiteiras","capiaçu/sorgo","produtor anotando","Volumoso é estratégia","Quantas vacas você tem?","Reel 45s"
11,"Perda no silo","Silo rasgado ou mal vedado","PERDA INVISÍVEL","silo vedação","material perdido","dinheiro/conta","Produziu, pagou e perdeu","Quer checklist de silo?","Reel 35s"
12,"Safra 2027","Calendário + lavoura","2027 COMEÇA AGORA","calendario 2027","semente/lavoura","produtor no campo","Quem planeja compra melhor","Chame no direct","Reel 30s"
13,"Cocho conta verdade","Cocho com sobra","O COCHO ENTREGA A DIETA","cocho com sobra","vaca comendo","ajuste visual da dieta","Sobra também é dado","Mostre seu cocho","Reel 30s"
14,"Sul/Sudeste","Mapa RS SC PR SP MG","SUL E SUDESTE: PLANEJE VOLUMOSO","mapa","clima frio/seco","silo cheio","Região muda decisão","Diga sua cidade","Reel 35s"
15,"Sistema alimentar","Três imagens: pasto/silo/cocho","NÃO ESCOLHA CULTURA, ESCOLHA SISTEMA","pasto","silo","cocho","Sorgo, milho e capiaçu têm função","Quer montar seu sistema?","Reel 45s"
